Date;Time;solar;temp;wind;RH;soil_pressure;P_atm;Tleaf;gsw;E_apparent;soil;kmax
2020/11/24;16;63,52;18,1405;0;59,284;1,803597263;100,108;17,798;186,3452;1,0932616;0,118;1150
2020/11/25;9;150,15;17,8905;0;48,386;1,776844697;100,704;17,638;194,6148;1,345432;0,121;1150
2020/11/25;12;173,95;18,6415;0;47,866;1,803597263;100,622;18,042;183,2122;1,673598;0,118;1150
2020/11/25;16;292,95;22,3955;0;45,468;1,822043017;100,44;20,076;139,2424;1,6270528;0,116;1150
2020/11/26;9;179,05;23,646;0;44,374;1,776844697;100,532;19,466;151,6546;1,5042296;0,121;1150
2020/11/26;12;615,3;26,646;0;57,8;1,831457352;100,516;22,598;173,8656;2,2102742;0,115;1150
2020/11/26;16;415,35;27,8955;0;58,576;1,812757265;100,282;22,56;170,8192;1,7952098;0,117;1150
2020/11/30;9;250,45;26,896;0;49,528;1,759590179;100,054;19,946;146,277;1,5574598;0,123;750
2020/11/30;12;679,4;24,896;0;56,308;1,812757265;100,084;22,348;159,9624;1,9721364;0,117;750
2020/11/30;16;456,25;25,396;0;52,642;1,803597263;99,968;19,796;156,9158;1,2188596;0,118;750
2020/12/01;9;132,2;19,142;0;52,478;1,794560265;100,362;18,262;136,2362;1,062128;0,119;750
2020/12/01;12;231,5;20,644;0;59,026;1,822043017;100,408;22,652;158,1392;1,8372576;0,116;750
2020/12/01;16;434,2;26,646;0;51,638;1,850683553;100,484;22,158;192,369;2,21397;0,113;750
2020/12/02;9;244,55;32,888;0;43,624;1,831457352;100,554;20,354;168,7876;2,04317;0,115;1150
2020/12/02;12;689,7;28,645;0;47,228;1,87046038;100,418;24,23;162,405;2,5405772;0,111;1150
2020/12/02;16;531,8;26,146;0;47,866;1,850683553;100,094;23,71;109,9526;1,5655274;0,113;1150
2020/12/03;9;249,25;22,145;0;54,534;1,822043017;100,244;19,164;167,9364;1,3921736;0,116;1150
2020/12/03;12;704,75;31,641;0;42,436;1,87046038;100,168;27,586;103,5074;2,3436964;0,111;1150
2020/12/03;16;526,75;30,143;0;41,892;1,841003192;100,13;26,342;165,9942;2,6252172;0,114;1150
2020/12/04;9;244,9;28,6445;0;46,698;1,841003192;100,362;21,692;140,046;1,8695106;0,114;1150
2020/12/04;12;696,25;31,641;0;42,17166667;1,890813958;100,3866667;27,96;144,143167;3,199259167;0,109;1150
2020/12/04;16;533;33,139;0;42,514;1,87046038;100,15;27,358;191,6762;3,743692;0,111;1150
2020/12/08;9;65,65;19,893;0;56,512;1,803597263;100,06;18,998;163,235;1,2556686;0,118;1050
2020/12/08;12;141,85;23,396;0;55,428;1,822043017;100,03;23,602;153,3916;1,6811966;0,116;1050
2020/12/08;16;259,8;29,1445;0;52,49;1,841003192;99,718;25,024;152,695;2,1205042;0,114;1050
2020/12/09;9;116,3;21,645;0;62,288;1,803597263;99,988;21,428;143,0144;1,2548268;0,118;1050
2020/12/09;16;484,1;28,645;0;47,378;1,841003192;99,842;24,702;201,1144;2,5933672;0,114;1050
2020/12/10;9;242,65;25,146;0;59,29;1,803597263;99,808;21,81;207,4024;2,0332676;0,118;1050
2020/12/10;16;522,45;29,8935;0;54,416;1,841003192;99,664;25,142;182,2062;2,3777204;0,114;1050
2020/12/11;9;172,6;23,146;0;56,846;1,803597263;99,91;20,226;134,3476;1,1515836;0,118;800
2020/12/11;16;95,75;20,1435;0;53,318;1,812757265;99,948;20,532;152,27;1,3011418;0,117;800
2020/12/14;9;245,95;23,646;0;54,534;1,794560265;99,866;20,918;125,9732;1,354108;0,119;800
2020/12/14;16;257,6;24,396;0;48,838;1,803597263;99,928;23,8;171,7812;1,9456798;0,118;800
2020/12/15;9;253,4;26,646;0;53,248;1,794560265;100,156;21,834;146,7514;1,7629024;0,119;800
2020/12/16;9;251,2;21,1445;0;51,178;1,776844697;100,092;20,046;122,2406;1,2615878;0,121;800
2020/12/17;9;222,7;22,896;0;55,582;1,776844697;100,08;20,186;137,047;1,212573;0,121;800
2020/12/18;9;254,7;28,645;0;49,312;1,768161034;99,788;22,534;130,1874;1,7019462;0,122;800
2020/12/19;9;242,05;25,646;0;63,428;1,759590179;99,636;23,124;121,4816;1,212934;0,123;800
2020/12/21;9;265,05;30,892;0;52,706;1,759590179;99,586;25,652;120,114;1,8521136;0,123;800
2020/12/22;9;254,5;30,8915;0;57,068;1,751129767;99,39;24,274;152,0514;1,7942774;0,124;800
2020/12/23;9;200,6;24,396;0;63,808;1,718347591;99,978;21,544;182,1988;1,5800162;0,128;800
